CITY,STATE,GEOID,LAT,LONG,PTPER2018,PTPER2019,PTPER2020,PTPER2021,PTPER2022
Chicago,Illinois,16980,41.8755616,-87.624421,12.4,12.5,11.7,10.4,9.3
Cincinnati,Ohio,17140,39.1014537,-84.51246,1.9,1.9,1.7,1.5,1.5
Cleveland,Ohio,17460,41.4996574,-81.693677,3.1,3.2,2.9,2.6,2.4
Columbus,Ohio,18140,39.9622601,-83.000707,1.7,1.8,1.6,1.4,1.4
Des Moines,Iowa,19780,41.5868654,-93.624949,1.3,1.3,1.1,0.9,0.9
Detroit,Michigan,19820,42.3315509,-83.04664,1.6,1.5,1.5,1.4,1.3
Grand Rapids,Michigan,24340,42.9632425,-85.667864,1.5,1.5,1.5,1.4,1.3
Indianapolis,Indiana,26900,39.7683331,-86.15835,1,1,0.9,0.8,0.8
Kansas City,Missouri,28140,39.100105,-94.578142,1,1,1,0.9,0.9
Louisville,Kentucky,31140,38.2542376,-85.759407,1.9,1.9,1.8,1.6,1.4
Madison,Wisconsin,31540,43.074761,-89.383761,4.6,4.4,4,3.5,3.1
Milwaukee,Wisconsin,33340,43.0386475,-87.909075,3.5,3.3,3,2.7,2.5
Minneapolis,Minnesota,33460,44.9772995,-93.265469,4.8,4.8,4.4,3.8,3.3
Omaha,Nebraska,36540,41.2587459,-95.938376,1,1,0.9,0.9,0.8
St. Louis,Missouri,41180,38.6280278,-90.191015,2.6,2.4,2,1.8,1.6
